Region,Year,Gender,Sat_Very,Sat_Somewhat,Sat_Neutral,Unsat_Somewhat,Unsat_Very,Satisfaction_Rate,Dissatisfaction_Rate,Avg_Satisfaction_Score,Suicide_Rate
전라남도,2023,Total,13.5,28.5,46.7,9.1,2.2,42.0,11.3,3.42,29.2
전라남도,2024,Total,10.3,29.9,45.4,12.6,1.8,40.2,14.4,3.3429999999999995,34.5
전라남도,2020,남자,16.3,28.1,46.9,7.0,1.7,44.400000000000006,8.7,3.503,41.3
전라남도,2021,남자,12.6,25.2,43.4,14.5,4.4,37.8,18.9,3.2739999999999996,42.7
전라남도,2022,남자,13.7,31.9,40.5,11.7,2.1,45.599999999999994,13.799999999999999,3.431,38.7
전라남도,2023,남자,15.0,28.1,44.1,10.9,1.9,43.1,12.8,3.434,40.9
전라남도,2024,남자,10.8,30.5,45.6,11.3,1.7,41.3,13.0,3.3710000000000004,53.6
전라남도,2020,여자,12.2,25.3,51.7,9.4,1.4,37.5,10.8,3.375,15.6
전라남도,2021,여자,10.5,26.7,45.2,14.8,2.7,37.2,17.5,3.2720000000000002,17.6
전라남도,2022,여자,10.7,33.1,42.6,11.0,2.6,43.8,13.6,3.383000000000001,14.5
전라남도,2023,여자,12.0,28.8,49.4,7.3,2.5,40.8,9.8,3.405,17.4
전라남도,2024,여자,9.9,29.2,45.2,13.8,1.9,39.1,15.700000000000001,3.3140000000000005,15.1
경상북도,2020,Total,9.7,24.7,52.5,11.4,1.7,34.4,13.1,3.293,28.6
경상북도,2021,Total,7.7,19.8,46.9,20.8,4.8,27.5,25.6,3.048,29.0
경상북도,2022,Total,11.5,32.3,42.4,11.8,2.0,43.8,13.8,3.395,26.8
경상북도,2023,Total,10.2,27.9,47.1,12.0,2.7,38.099999999999994,14.7,3.3059999999999996,30.5
경상북도,2024,Total,9.2,31.7,46.2,10.7,2.2,40.9,12.899999999999999,3.35,31.6
경상북도,2020,남자,10.9,24.4,52.5,9.9,2.2,35.3,12.100000000000001,3.3160000000000003,37.8
경상북도,2021,남자,8.1,19.0,47.6,19.7,5.5,27.1,25.2,3.042,40.8
경상북도,2022,남자,13.0,31.6,41.5,12.1,1.9,44.6,14.0,3.4199999999999995,38.8
경상북도,2023,남자,10.7,30.5,44.3,12.1,2.4,41.2,14.5,3.3499999999999996,44.2
경상북도,2024,남자,10.4,31.8,44.0,11.3,2.6,42.2,13.9,3.3640000000000003,46.6
